City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
kaka,37.35,59.61,81.05,43,0,9.93,TM,1594511988
rikitea,-23.12,-134.97,69.66,70,22,15.37,PF,1594511815
goderich,43.75,-81.72,75.0,75,69,13.27,CA,1594511896
banjaran,-7.05,107.59,70.68,79,76,3.24,ID,1594511989
juneau,58.3,-134.42,59.0,72,90,14.99,US,1594511742
hobart,-42.88,147.33,46.99,93,75,5.82,AU,1594511761
hilo,19.73,-155.09,82.4,65,75,8.05,US,1594511823
upernavik,72.79,-56.15,41.47,83,5,3.04,GL,1594511819
barrow,71.29,-156.79,35.6,80,90,8.05,US,1594511831
nome,64.5,-165.41,70.0,63,1,10.29,US,1594511753
hermanus,-34.42,19.23,45.0,82,2,8.43,ZA,1594511843
cabo san lucas,22.89,-109.91,93.99,52,5,17.22,MX,1594511882
rio grande,-32.03,-52.1,51.01,89,4,1.01,BR,1594511807
northam,51.03,-4.22,48.99,93,83,3.0,GB,1594511885
albany,42.6,-73.97,80.01,79,87,7.02,US,1594511525
santa cruz,-17.8,-63.17,75.2,78,75,12.75,BO,1594511992
hokitika,-42.72,170.97,52.43,83,90,12.19,NZ,1594511858
sur,22.57,59.53,85.48,65,62,10.76,OM,1594511827
luanda,-8.84,13.23,71.6,78,90,5.82,AO,1594511922
punta arenas,-53.15,-70.92,33.8,74,20,10.29,CL,1594511816
saint-philippe,-21.36,55.77,66.2,77,46,4.7,RE,1594511848
laguna,38.42,-121.42,104.0,10,1,4.7,US,1594511993
codrington,-38.27,141.97,50.92,86,13,3.65,AU,1594511851
east london,-33.02,27.91,56.73,52,65,16.62,ZA,1594511823
esperance,-33.87,121.9,39.2,93,0,11.41,AU,1594511924
lagoa,39.05,-27.98,68.88,87,30,15.95,PT,1594511994
ponta do sol,32.67,-17.1,69.01,78,0,4.38,PT,1594511847
opuwo,-18.06,13.84,49.82,45,0,5.39,NA,1594511994
weinan,34.5,109.51,69.01,100,90,4.47,CN,1594511994
saint george,37.1,-113.58,107.6,12,1,9.17,US,1594511573
nezhinka,51.77,55.37,75.2,69,79,11.18,RU,1594511995
inta,66.03,60.17,53.33,84,0,6.98,RU,1594511995
asau,46.43,26.4,61.0,83,0,4.14,RO,1594511911
saskylakh,71.92,114.08,67.8,76,68,14.72,RU,1594511822
samarai,-10.62,150.67,78.71,88,33,12.71,PG,1594511995
moranbah,-22.0,148.05,70.66,57,2,5.7,AU,1594511996
yuzhnyy,53.25,83.69,60.8,87,0,2.24,RU,1594511996
arraial do cabo,-22.97,-42.03,70.47,82,0,23.62,BR,1594511834
paamiut,61.99,-49.67,43.75,87,0,1.57,GL,1594511837
wajir,1.75,40.06,74.21,72,75,16.82,KE,1594511996
thompson,55.74,-97.86,60.8,82,75,5.82,CA,1594511824
cidreira,-30.18,-50.21,56.05,87,100,5.7,BR,1594511845
muyezerskiy,63.93,31.65,49.62,95,94,7.29,RU,1594511997
yerbogachen,61.28,108.01,60.53,77,0,5.73,RU,1594511826
verkhnetulomskiy,68.61,31.8,46.4,93,75,6.71,RU,1594511998
vaini,-21.2,-175.2,73.4,78,40,13.87,TO,1594511827
busselton,-33.65,115.33,46.0,79,0,16.04,AU,1594511824
butaritari,3.07,172.79,83.98,75,13,15.95,KI,1594511818
ust-kulom,61.69,53.69,62.19,63,70,7.56,RU,1594511998
itamarandiba,-17.86,-42.86,57.42,98,16,2.8,BR,1594511998
avarua,-21.21,-159.78,75.2,83,97,6.93,CK,1594511833
port alfred,-33.59,26.89,51.01,69,42,5.01,ZA,1594511840
tigre,-34.43,-58.58,51.8,50,72,9.17,AR,1594511999
kuytun,54.34,101.5,60.21,70,100,5.5,RU,1594511999
hangzhou,30.29,120.16,88.0,84,99,4.47,CN,1594511999
kurumkan,54.3,110.3,72.0,66,97,4.85,RU,1594512000
alice springs,-23.7,133.88,52.0,61,0,4.7,AU,1594511548
sal rei,16.18,-22.92,75.2,69,75,10.29,CV,1594511871
puerto ayora,-0.74,-90.35,66.99,92,75,1.99,EC,1594511825
isangel,-19.55,169.27,78.8,69,20,11.41,VU,1594511886
kirakira,-10.45,161.92,83.16,75,19,14.41,SB,1594511861
